bio,posts,label
"Always building, always shipping.",Just deployed a new backend service in 3 hours. Exploring the latest LangChain release. My GPT-based app now supports voice! Hackathon weekend — let's go 🚀,Tech Enthusiast
Trying every cuisine the world has to offer.,Pho in Saigon is a spiritual experience 🍜. Homemade gnocchi turned out amazing. Street food in Istanbul >>>. Pistachio gelato in Sicily is life 🍨.,Foodie Explorer
Gym. Eat. Sleep. Repeat.,Chest day pump 💪. New PR: 150kg deadlift ✅. High protein meal prep done. No days off — only progress 🔥.,Fitness Buff
Fashion is my language.,"Statement earrings + monochrome fit = 🔥. Thrifting gems in Berlin today!. Layering is an art, not a trend. Outfit check 🪞✨.",Fashion Aficionado
I laugh at my own memes.,When Monday hits like a truck 🫠. Me: just one episode. Also me: 4AM 👀. Dogs in sunglasses = instant serotonin 🐶🕶️. Can’t tell if I'm funny or broken.,Meme Lord
Obsessed with tech and gadgets.,"Pixel 8 Pro > iPhone this year. Running Llama 3 locally. Why? Because I can 🤓. Docker is my love language 🐳. AI, AR, and now XR? Count me in.",Tech Enthusiast
I lift heavy and eat clean.,Macros: on point. Mood: anabolic 💥. Leg day = respect the squat rack. Discipline > motivation. Rest day? Not today.,Fitness Buff
Style speaks louder than words.,Oversized blazer season is back 🖤. Mixing neutrals with bold prints — why not?. Weekend fit check 🔁. Statement boots or nothing 👢.,Fashion Aficionado
"Feed me, don’t text me.",Ramen cravings all day 🍥. Tried Ethiopian injera today — incredible. Brunch = best excuse to eat 3 breakfasts 🍳. Still thinking about last night’s sushi roll.,Foodie Explorer
Sarcasm is my cardio.,"Out of office but still mentally in Excel 🧠💻. If I had a dollar for every time I Googled 'what day is it'. Can't adult today. I’m not lazy, I’m on power save mode 💤.",Meme Lord
Innovating daily in the tech sphere.,Diving into WebAssembly and it's blowing my mind 🧠. Benchmarking my model with ONNX – the speed boost is real ⚡. Voice interface + LLMs = the future is hands-free.,Tech Enthusiast
Innovating daily in the tech sphere.,Benchmarking my model with ONNX – the speed boost is real ⚡. Diving into WebAssembly and it's blowing my mind 🧠. Voice interface + LLMs = the future is hands-free.,Tech Enthusiast
Making existential dread funny since 2013.,"Memes are how I scream into the void... politely. Relatable content? Nah, I make unrelatable masterpieces. That moment when your brain updates at 3AM 🧠🔁.",Meme Lord
Discovering the world one bite at a time.,That Turkish baklava is pure heaven in layers 🥮. Freshly baked sourdough straight from my oven 🍞❤️. Fusion sushi with mango and jalapeño? Surprisingly divine 🍣🔥.,Foodie Explorer
Discovering the world one bite at a time.,That Turkish baklava is pure heaven in layers 🥮. Fusion sushi with mango and jalapeño? Surprisingly divine 🍣🔥. Freshly baked sourdough straight from my oven 🍞❤️.,Foodie Explorer
Discovering the world one bite at a time.,Fusion sushi with mango and jalapeño? Surprisingly divine 🍣🔥. Korean BBQ last night. I am now smoke-flavored 🥩. Freshly baked sourdough straight from my oven 🍞❤️.,Foodie Explorer
Discipline fuels my transformation.,Superset with minimal rest — hypertrophy unlocked 💪. Morning cardio + cold shower = unstoppable energy. Creatine and consistency. That’s the real preworkout.,Fitness Buff
Discovering the world one bite at a time.,Freshly baked sourdough straight from my oven 🍞❤️. Fusion sushi with mango and jalapeño? Surprisingly divine 🍣🔥. Korean BBQ last night. I am now smoke-flavored 🥩.,Foodie Explorer
Making existential dread funny since 2013.,"Memes are how I scream into the void... politely. POV: your motivation left you on read 📵. Relatable content? Nah, I make unrelatable masterpieces.",Meme Lord
Innovating daily in the tech sphere.,Finally configured my homelab cluster. Local cloud = freedom. Benchmarking my model with ONNX – the speed boost is real ⚡. Diving into WebAssembly and it's blowing my mind 🧠.,Tech Enthusiast
Making existential dread funny since 2013.,"Relatable content? Nah, I make unrelatable masterpieces. That moment when your brain updates at 3AM 🧠🔁. POV: your motivation left you on read 📵.",Meme Lord
Discipline fuels my transformation.,Creatine and consistency. That’s the real preworkout. Morning cardio + cold shower = unstoppable energy. Superset with minimal rest — hypertrophy unlocked 💪.,Fitness Buff
Making existential dread funny since 2013.,Memes are how I scream into the void... politely. That moment when your brain updates at 3AM 🧠🔁. POV: your motivation left you on read 📵.,Meme Lord
"Trends fade, but style is eternal.","Just embroidered my own denim jacket — DIY couture 🧵. Wardrobe audit: bye fast fashion, hello staples. Runway looks are just the start — streetwear makes the rules.",Fashion Aficionado
Innovating daily in the tech sphere.,Voice interface + LLMs = the future is hands-free. Diving into WebAssembly and it's blowing my mind 🧠. Finally configured my homelab cluster. Local cloud = freedom.,Tech Enthusiast
Innovating daily in the tech sphere.,Finally configured my homelab cluster. Local cloud = freedom. Benchmarking my model with ONNX – the speed boost is real ⚡. Diving into WebAssembly and it's blowing my mind 🧠.,Tech Enthusiast
Discipline fuels my transformation.,Superset with minimal rest — hypertrophy unlocked 💪. Morning cardio + cold shower = unstoppable energy. Reverse pyramid training — finally seeing those gains.,Fitness Buff
Innovating daily in the tech sphere.,Finally configured my homelab cluster. Local cloud = freedom. Voice interface + LLMs = the future is hands-free. Benchmarking my model with ONNX – the speed boost is real ⚡.,Tech Enthusiast
Making existential dread funny since 2013.,"Relatable content? Nah, I make unrelatable masterpieces. That moment when your brain updates at 3AM 🧠🔁. POV: your motivation left you on read 📵.",Meme Lord
Innovating daily in the tech sphere.,Diving into WebAssembly and it's blowing my mind 🧠. Finally configured my homelab cluster. Local cloud = freedom. Benchmarking my model with ONNX – the speed boost is real ⚡.,Tech Enthusiast
Discipline fuels my transformation.,Superset with minimal rest — hypertrophy unlocked 💪. Morning cardio + cold shower = unstoppable energy. Creatine and consistency. That’s the real preworkout.,Fitness Buff
Making existential dread funny since 2013.,That moment when your brain updates at 3AM 🧠🔁. POV: your motivation left you on read 📵. Memes are how I scream into the void... politely.,Meme Lord
Making existential dread funny since 2013.,"Relatable content? Nah, I make unrelatable masterpieces. Memes are how I scream into the void... politely. POV: your motivation left you on read 📵.",Meme Lord
"Trends fade, but style is eternal.","Runway looks are just the start — streetwear makes the rules. Wardrobe audit: bye fast fashion, hello staples. Just embroidered my own denim jacket — DIY couture 🧵.",Fashion Aficionado
